site_id,vendor_id,integration_quality
S001,V001,1
S001,V002,1
S001,V003,1
S001,V004,1
S001,V005,2
S001,V006,0
S001,V007,2
S001,V008,2
S001,V009,2
S001,V010,2
S001,V011,2
S001,V012,2
S001,V013,2
S001,V014,1
S001,V015,1
S001,V016,2
S001,V017,2
S001,V018,1
S001,V019,1
S001,V020,1
S002,V001,1
S002,V002,1
S002,V003,1
S002,V004,1
S002,V005,1
S002,V006,2
S002,V007,2
S002,V008,2
S002,V009,2
S002,V010,2
S002,V011,2
S002,V012,2
S002,V013,2
S002,V014,2
S002,V015,1
S002,V016,1
S002,V017,2
S002,V018,1
S002,V019,1
S002,V020,1
S003,V001,1
S003,V002,1
S003,V003,1
S003,V004,1
S003,V005,2
S003,V006,0
S003,V007,2
S003,V008,2
S003,V009,2
S003,V010,2
S003,V011,2
S003,V012,2
S003,V013,2
S003,V014,1
S003,V015,1
S003,V016,2
S003,V017,2
S003,V018,1
S003,V019,1
S003,V020,1
S004,V001,1
S004,V002,1
S004,V003,1
S004,V004,1
S004,V005,0
S004,V006,2
S004,V007,0
S004,V008,2
S004,V009,2
S004,V010,2
S004,V011,2
S004,V012,2
S004,V013,2
S004,V014,2
S004,V015,1
S004,V016,1
S004,V017,2
S004,V018,1
S004,V019,1
S004,V020,1
S005,V001,1
S005,V002,1
S005,V003,1
S005,V004,1
S005,V005,0
S005,V006,2
S005,V007,2
S005,V008,2
S005,V009,2
S005,V010,2
S005,V011,2
S005,V012,2
S005,V013,2
S005,V014,1
S005,V015,1
S005,V016,1
S005,V017,1
S005,V018,1
S005,V019,1
S005,V020,1
S006,V001,1
S006,V002,1
S006,V003,1
S006,V004,1
S006,V005,2
S006,V006,2
S006,V007,2
S006,V008,2
S006,V009,2
S006,V010,2
S006,V011,2
S006,V012,2
S006,V013,2
S006,V014,1
S006,V015,1
S006,V016,2
S006,V017,2
S006,V018,1
S006,V019,1
S006,V020,1
S007,V001,1
S007,V002,1
S007,V003,1
S007,V004,1
S007,V005,1
S007,V006,2
S007,V007,2
S007,V008,2
S007,V009,2
S007,V010,2
S007,V011,2
S007,V012,2
S007,V013,2
S007,V014,2
S007,V015,1
S007,V016,1
S007,V017,2
S007,V018,1
S007,V019,1
S007,V020,1
S008,V001,1
S008,V002,1
S008,V003,1
S008,V004,1
S008,V005,2
S008,V006,2
S008,V007,2
S008,V008,2
S008,V009,2
S008,V010,2
S008,V011,2
S008,V012,2
S008,V013,2
S008,V014,2
S008,V015,1
S008,V016,1
S008,V017,2
S008,V018,1
S008,V019,1
S008,V020,1
S009,V001,1
S009,V002,1
S009,V003,1
S009,V004,1
S009,V005,1
S009,V006,0
S009,V007,2
S009,V008,2
S009,V009,2
S009,V010,2
S009,V011,2
S009,V012,2
S009,V013,2
S009,V014,1
S009,V015,1
S009,V016,2
S009,V017,2
S009,V018,1
S009,V019,1
S009,V020,1
S010,V001,1
S010,V002,1
S010,V003,1
S010,V004,1
S010,V005,1
S010,V006,1
S010,V007,2
S010,V008,2
S010,V009,2
S010,V010,2
S010,V011,2
S010,V012,2
S010,V013,2
S010,V014,1
S010,V015,1
S010,V016,2
S010,V017,2
S010,V018,1
S010,V019,1
S010,V020,1
S011,V001,1
S011,V002,1
S011,V003,1
S011,V004,1
S011,V005,1
S011,V006,2
S011,V007,2
S011,V008,2
S011,V009,2
S011,V010,2
S011,V011,2
S011,V012,2
S011,V013,2
S011,V014,1
S011,V015,1
S011,V016,2
S011,V017,2
S011,V018,1
S011,V019,1
S011,V020,1
S012,V001,1
S012,V002,1
S012,V003,1
S012,V004,1
S012,V005,0
S012,V006,0
S012,V007,1
S012,V008,2
S012,V009,2
S012,V010,2
S012,V011,2
S012,V012,2
S012,V013,2
S012,V014,1
S012,V015,1
S012,V016,2
S012,V017,2
S012,V018,1
S012,V019,1
S012,V020,1
S013,V001,1
S013,V002,1
S013,V003,1
S013,V004,1
S013,V005,2
S013,V006,2
S013,V007,1
S013,V008,2
S013,V009,2
S013,V010,2
S013,V011,2
S013,V012,2
S013,V013,2
S013,V014,1
S013,V015,1
S013,V016,1
S013,V017,1
S013,V018,1
S013,V019,1
S013,V020,1
S014,V001,1
S014,V002,1
S014,V003,1
S014,V004,1
S014,V005,1
S014,V006,2
S014,V007,1
S014,V008,2
S014,V009,2
S014,V010,2
S014,V011,2
S014,V012,2
S014,V013,2
S014,V014,2
S014,V015,1
S014,V016,1
S014,V017,2
S014,V018,1
S014,V019,1
S014,V020,1
S015,V001,1
S015,V002,1
S015,V003,1
S015,V004,1
S015,V005,2
S015,V006,0
S015,V007,2
S015,V008,2
S015,V009,2
S015,V010,2
S015,V011,2
S015,V012,2
S015,V013,2
S015,V014,2
S015,V015,1
S015,V016,1
S015,V017,2
S015,V018,1
S015,V019,1
S015,V020,1
S016,V001,1
S016,V002,1
S016,V003,1
S016,V004,1
S016,V005,1
S016,V006,2
S016,V007,1
S016,V008,2
S016,V009,2
S016,V010,2
S016,V011,2
S016,V012,2
S016,V013,2
S016,V014,2
S016,V015,1
S016,V016,1
S016,V017,2
S016,V018,1
S016,V019,1
S016,V020,1
S017,V001,1
S017,V002,1
S017,V003,1
S017,V004,1
S017,V005,1
S017,V006,2
S017,V007,0
S017,V008,2
S017,V009,2
S017,V010,2
S017,V011,2
S017,V012,2
S017,V013,2
S017,V014,2
S017,V015,1
S017,V016,1
S017,V017,2
S017,V018,1
S017,V019,1
S017,V020,1
S018,V001,1
S018,V002,1
S018,V003,1
S018,V004,1
S018,V005,0
S018,V006,0
S018,V007,1
S018,V008,2
S018,V009,2
S018,V010,2
S018,V011,2
S018,V012,2
S018,V013,2
S018,V014,1
S018,V015,1
S018,V016,2
S018,V017,2
S018,V018,1
S018,V019,1
S018,V020,1
S019,V001,1
S019,V002,1
S019,V003,1
S019,V004,1
S019,V005,1
S019,V006,0
S019,V007,2
S019,V008,2
S019,V009,2
S019,V010,2
S019,V011,2
S019,V012,2
S019,V013,2
S019,V014,2
S019,V015,1
S019,V016,1
S019,V017,2
S019,V018,1
S019,V019,1
S019,V020,1
S020,V001,1
S020,V002,1
S020,V003,1
S020,V004,1
S020,V005,2
S020,V006,2
S020,V007,2
S020,V008,2
S020,V009,2
S020,V010,2
S020,V011,2
S020,V012,2
S020,V013,2
S020,V014,2
S020,V015,1
S020,V016,1
