site_id,month,days_ar,denial_rate
S001,2019-01-01,32.26,6.6
S001,2019-02-01,33.59,7.42
S001,2019-03-01,34.85,6.83
S001,2019-04-01,34.52,7.28
S001,2019-05-01,32.2,7.1
S001,2019-06-01,32.61,6.56
S001,2019-07-01,32.06,6.92
S001,2019-08-01,32.42,6.96
S001,2019-09-01,28.46,6.32
S001,2019-10-01,31.57,6.8
S001,2019-11-01,32.3,7.91
S001,2019-12-01,33.38,7.24
S001,2020-01-01,38.37,7.65
S001,2020-02-01,37.2,7.79
S001,2020-03-01,36.78,7.53
S001,2020-04-01,36.94,7.59
S001,2020-05-01,40.41,6.89
S001,2020-06-01,36.97,6.82
S001,2020-07-01,34.23,7.48
S001,2020-08-01,34.3,6.72
S001,2020-09-01,32.86,7.21
S001,2020-10-01,33.11,7.11
S001,2020-11-01,35.01,6.96
S001,2020-12-01,39.15,7.49
S001,2021-01-01,33.9,7.51
S001,2021-02-01,36.68,7.82
S001,2021-03-01,36.75,7.57
S001,2021-04-01,38.43,7.82
S001,2021-05-01,35.14,7.35
S001,2021-06-01,35.23,7.11
S001,2021-07-01,37.59,7.27
S001,2021-08-01,32.31,7.32
S001,2021-09-01,37.12,7.31
S001,2021-10-01,31.93,6.9
S001,2021-11-01,36.84,6.94
S001,2021-12-01,36.6,7.54
S001,2022-01-01,35.55,7.43
S001,2022-02-01,32.81,7.26
S001,2022-03-01,37.56,7.23
S001,2022-04-01,40.12,7.13
S001,2022-05-01,36.28,7.49
S001,2022-06-01,38.1,6.87
S001,2022-07-01,36.68,7.16
S001,2022-08-01,32.73,7.18
S001,2022-09-01,34.24,6.82
S001,2022-10-01,34.31,6.93
S001,2022-11-01,35.11,7.35
S001,2022-12-01,38.32,6.93
S001,2023-01-01,40.14,6.87
S001,2023-02-01,37.44,7.74
S001,2023-03-01,38.36,7.42
S001,2023-04-01,37.36,7.41
S001,2023-05-01,36.05,7.71
S001,2023-06-01,36.47,7.09
S001,2023-07-01,36.29,7.24
S001,2023-08-01,35.42,7.23
S001,2023-09-01,32.69,6.83
S001,2023-10-01,35.33,7.23
S001,2023-11-01,34.91,7.19
S001,2023-12-01,37.85,7.13
S001,2024-01-01,37.76,7.39
S001,2024-02-01,37.34,7.89
S001,2024-03-01,39.18,7.85
S001,2024-04-01,39.63,7.57
S001,2024-05-01,37.96,7.36
S001,2024-06-01,36.42,7.26
S001,2024-07-01,35.08,7.33
S001,2024-08-01,32.98,7.67
S001,2024-09-01,32.43,6.64
S001,2024-10-01,35.94,7.28
S001,2024-11-01,35.87,7.34
S001,2024-12-01,35.92,7.03
S002,2019-01-01,36.1,7.41
S002,2019-02-01,38.18,7.68
S002,2019-03-01,35.75,7.66
S002,2019-04-01,37.34,7.55
S002,2019-05-01,34.75,7.68
S002,2019-06-01,35.36,7.31
S002,2019-07-01,33.28,7.38
S002,2019-08-01,31.08,6.78
S002,2019-09-01,31.91,7.1
S002,2019-10-01,33.72,7.64
S002,2019-11-01,35.27,7.26
S002,2019-12-01,34.96,7.16
S002,2020-01-01,35.96,7.52
S002,2020-02-01,37.2,7.47
S002,2020-03-01,37.77,8.22
S002,2020-04-01,36.56,7.84
S002,2020-05-01,37.02,7.49
S002,2020-06-01,35.32,7.46
S002,2020-07-01,34.13,7.08
S002,2020-08-01,33.29,7.35
S002,2020-09-01,35.16,7.45
S002,2020-10-01,36.49,6.97
S002,2020-11-01,35.3,7.36
S002,2020-12-01,38.27,7.22
S002,2021-01-01,34.73,7.43
S002,2021-02-01,33.53,7.56
S002,2021-03-01,35.85,7.8
S002,2021-04-01,37.23,8.28
S002,2021-05-01,37.41,7.44
S002,2021-06-01,33.64,7.61
S002,2021-07-01,32.01,7.86
S002,2021-08-01,35.03,7.06
S002,2021-09-01,30.42,7.57
S002,2021-10-01,33.08,7.57
S002,2021-11-01,31.6,7.13
S002,2021-12-01,35.0,7.47
S002,2022-01-01,35.31,7.8
S002,2022-02-01,35.12,7.68
S002,2022-03-01,37.17,7.91
S002,2022-04-01,37.79,7.38
S002,2022-05-01,33.69,7.99
S002,2022-06-01,35.49,7.24
S002,2022-07-01,36.31,7.34
S002,2022-08-01,35.02,7.22
S002,2022-09-01,36.08,7.69
S002,2022-10-01,32.88,7.49
S002,2022-11-01,34.96,7.72
S002,2022-12-01,33.54,7.67
S002,2023-01-01,37.58,7.08
S002,2023-02-01,34.95,7.11
S002,2023-03-01,36.58,7.98
S002,2023-04-01,38.97,7.74
S002,2023-05-01,38.43,7.2
S002,2023-06-01,32.43,7.44
S002,2023-07-01,34.56,7.3
S002,2023-08-01,30.15,7.17
S002,2023-09-01,31.03,7.36
S002,2023-10-01,33.81,6.92
S002,2023-11-01,33.22,6.99
S002,2023-12-01,34.89,7.75
S002,2024-01-01,34.51,7.76
S002,2024-02-01,35.92,7.48
S002,2024-03-01,36.83,7.45
S002,2024-04-01,35.89,7.36
S002,2024-05-01,38.94,7.62
S002,2024-06-01,33.94,7.52
S002,2024-07-01,33.82,7.24
S002,2024-08-01,34.18,7.43
S002,2024-09-01,32.19,6.99
S002,2024-10-01,32.84,6.51
S002,2024-11-01,31.72,7.72
S002,2024-12-01,37.46,7.39
S003,2019-01-01,25.51,7.28
S003,2019-02-01,29.99,7.63
S003,2019-03-01,25.45,7.05
S003,2019-04-01,22.97,7.36
S003,2019-05-01,23.51,6.76
S003,2019-06-01,22.67,6.71
S003,2019-07-01,25.17,7.15
S003,2019-08-01,21.9,7.22
S003,2019-09-01,21.76,6.48
S003,2019-10-01,24.2,6.94
S003,2019-11-01,21.09,6.83
S003,2019-12-01,22.33,6.62
S003,2020-01-01,26.03,7.76
S003,2020-02-01,23.28,7.47
S003,2020-03-01,24.67,7.19
S003,2020-04-01,24.49,7.04
S003,2020-05-01,24.72,6.94
S003,2020-06-01,24.05,7.02
S003,2020-07-01,22.29,6.62
S003,2020-08-01,21.05,7.01
S003,2020-09-01,22.4,6.45
S003,2020-10-01,22.06,7.0
S003,2020-11-01,20.14,7.05
S003,2020-12-01,22.65,7.21
S003,2021-01-01,23.5,6.65
S003,2021-02-01,22.93,7.31
S003,2021-03-01,26.03,7.07
S003,2021-04-01,26.33,6.8
S003,2021-05-01,24.54,6.83
S003,2021-06-01,22.67,7.05
S003,2021-07-01,21.35,6.77
S003,2021-08-01,23.42,6.61
S003,2021-09-01,22.9,6.4
S003,2021-10-01,22.71,7.21
S003,2021-11-01,18.94,6.65
S003,2021-12-01,24.51,6.98
S003,2022-01-01,25.2,7.01
S003,2022-02-01,25.51,7.25
S003,2022-03-01,27.4,7.41
S003,2022-04-01,25.88,7.17
S003,2022-05-01,23.91,7.06
S003,2022-06-01,24.24,6.91
S003,2022-07-01,23.08,7.51
S003,2022-08-01,23.22,6.68
S003,2022-09-01,23.45,6.62
S003,2022-10-01,18.85,6.48
S003,2022-11-01,19.84,6.78
S003,2022-12-01,23.67,7.54
S003,2023-01-01,25.13,7.12
S003,2023-02-01,26.62,6.63
S003,2023-03-01,26.0,7.57
S003,2023-04-01,23.16,7.64
S003,2023-05-01,25.15,7.06
S003,2023-06-01,24.59,7.72
S003,2023-07-01,22.92,6.96
S003,2023-08-01,21.22,6.52
S003,2023-09-01,22.89,6.48
S003,2023-10-01,22.02,6.64
S003,2023-11-01,23.36,6.99
S003,2023-12-01,25.2,6.89
S003,2024-01-01,24.24,6.89
S003,2024-02-01,24.71,7.41
S003,2024-03-01,26.78,7.06
S003,2024-04-01,26.68,7.7
S003,2024-05-01,25.26,7.75
S003,2024-06-01,22.48,6.67
S003,2024-07-01,25.01,8.19
S003,2024-08-01,27.93,7.61
S003,2024-09-01,27.1,7.25
S003,2024-10-01,30.61,7.67
S003,2024-11-01,27.84,7.96
S003,2024-12-01,29.4,7.96
S004,2019-01-01,15.0,3.19
S004,2019-02-01,16.78,3.57
S004,2019-03-01,16.61,3.05
S004,2019-04-01,15.0,3.13
S004,2019-05-01,15.0,3.38
S004,2019-06-01,15.0,3.36
S004,2019-07-01,15.0,2.63
S004,2019-08-01,15.0,2.15
S004,2019-09-01,15.0,2.63
S004,2019-10-01,15.0,2.26
S004,2019-11-01,15.0,3.25
S004,2019-12-01,15.0,2.45
S004,2020-01-01,15.0,2.97
S004,2020-02-01,21.63,4.9
S004,2020-03-01,25.6,5.17
S004,2020-04-01,28.45,5.25
S004,2020-05-01,24.54,4.47
S004,2020-06-01,27.8,4.67
S004,2020-07-01,22.96,4.5
