site_id,vendor_id,site_region_Midwest,site_region_Northeast,site_region_South,site_region_West,site_ehr_Curve,site_ehr_Dentrix,site_ehr_Eaglesoft,site_ehr_OpenDental,site_ehr_Other,site_revenue_category,site_annual_revenue_normalized,site_tenure_months,vendor_category_Clearinghouse,vendor_category_IT_MSP,vendor_category_Lab,vendor_category_RCM,vendor_category_Scheduling,vendor_category_Supplies,vendor_category_Telephony,vendor_tier,vendor_monthly_price_normalized,vendor_dso_readiness_score,vendor_integration_count_total,vendor_integration_count_full_api,vendor_integration_count_partial_csv,integration_quality,peer_adoption_count_12m,months_since_last_switch_category,site_days_ar_trend_6m,site_denial_rate_trend_6m,label
S001,V002,False,False,True,False,False,True,False,False,False,1,0.4169424222369292,65,False,False,True,False,False,False,False,3,1.0,0,3,0,3,1,4,1,0.9320000000000008,-0.05799999999999992,1
S001,V007,False,False,True,False,False,True,False,False,False,1,0.4169424222369292,65,False,False,False,True,False,False,False,1,0.21686746987951808,0,4,4,0,2,3,12,0.9320000000000008,-0.05799999999999992,1
S001,V009,False,False,True,False,False,True,False,False,False,1,0.4169424222369292,65,False,False,False,False,False,False,True,2,0.04819277108433735,0,8,8,0,2,6,12,0.9320000000000008,-0.05799999999999992,1
S001,V012,False,False,True,False,False,True,False,False,False,1,0.4169424222369292,65,False,False,False,False,True,False,False,3,0.03614457831325301,0,5,5,0,2,3,12,0.9320000000000008,-0.05799999999999992,1
S001,V014,False,False,True,False,False,True,False,False,False,1,0.4169424222369292,65,True,False,False,False,False,False,False,2,0.0,0,6,4,2,1,8,12,0.9320000000000008,-0.05799999999999992,1
S001,V016,False,False,True,False,False,True,False,False,False,1,0.4169424222369292,65,False,True,False,False,False,False,False,2,0.1566265060240964,0,7,3,4,2,7,12,0.9320000000000008,-0.05799999999999992,1
S001,V019,False,False,True,False,False,True,False,False,False,1,0.4169424222369292,65,False,False,False,False,False,True,False,2,0.12048192771084337,0,5,0,5,1,8,12,0.9320000000000008,-0.05799999999999992,1
S002,V004,True,False,False,False,False,False,True,False,False,0,0.2915287888815354,72,False,False,True,False,False,False,False,2,0.9397590361445783,0,5,0,5,1,0,12,0.6090000000000002,0.06499999999999992,1
S002,V006,True,False,False,False,False,False,True,False,False,0,0.2915287888815354,72,False,False,False,True,False,False,False,3,0.3373493975903614,0,5,2,3,2,0,12,0.6090000000000002,0.06499999999999992,1
S002,V009,True,False,False,False,False,False,True,False,False,0,0.2915287888815354,72,False,False,False,False,False,False,True,2,0.04819277108433735,0,8,8,0,2,0,12,0.6090000000000002,0.06499999999999992,1
S002,V011,True,False,False,False,False,False,True,False,False,0,0.2915287888815354,72,False,False,False,False,True,False,False,2,0.024096385542168676,0,6,6,0,2,0,12,0.6090000000000002,0.06499999999999992,1
S002,V015,True,False,False,False,False,False,True,False,False,0,0.2915287888815354,72,True,False,False,False,False,False,False,2,0.0,0,5,0,5,1,2,12,0.6090000000000002,0.06499999999999992,1
S002,V018,True,False,False,False,False,False,True,False,False,0,0.2915287888815354,72,False,True,False,False,False,False,False,1,0.0963855421686747,0,4,0,0,1,0,12,0.6090000000000002,0.06499999999999992,1
S002,V019,True,False,False,False,False,False,True,False,False,0,0.2915287888815354,72,False,False,False,False,False,True,False,2,0.12048192771084337,0,5,0,5,1,1,12,0.6090000000000002,0.06499999999999992,1
S003,V001,False,False,False,True,False,True,False,False,False,2,1.0,71,False,False,True,False,False,False,False,2,0.9397590361445783,0,3,0,3,1,1,12,0.3679999999999996,0.14099999999999993,1
S003,V005,False,False,False,True,False,True,False,False,False,2,1.0,71,False,False,False,True,False,False,False,2,0.27710843373493976,0,5,3,2,2,2,12,0.3679999999999996,0.14099999999999993,1
S003,V008,False,False,False,True,False,True,False,False,False,2,1.0,71,False,False,False,False,False,False,True,3,0.07228915662650602,0,10,10,0,2,5,-53,0.3679999999999996,0.14099999999999993,1
S003,V012,False,False,False,True,False,True,False,False,False,2,1.0,71,False,False,False,False,True,False,False,3,0.03614457831325301,0,5,5,0,2,3,12,0.3679999999999996,0.14099999999999993,1
S003,V014,False,False,False,True,False,True,False,False,False,2,1.0,71,True,False,False,False,False,False,False,2,0.0,0,6,4,2,1,3,12,0.3679999999999996,0.14099999999999993,1
S003,V016,False,False,False,True,False,True,False,False,False,2,1.0,71,False,True,False,False,False,False,False,2,0.1566265060240964,0,7,3,4,2,3,12,0.3679999999999996,0.14099999999999993,1
S003,V020,False,False,False,True,False,True,False,False,False,2,1.0,71,False,False,False,False,False,True,False,2,0.12048192771084337,0,5,0,5,1,0,48,0.3679999999999996,0.14099999999999993,1
S004,V001,False,False,True,False,False,False,False,True,False,1,0.5453342157511581,62,False,False,True,False,False,False,False,2,0.9397590361445783,0,3,0,3,1,0,-18,1.34,-0.09799999999999993,1
S004,V006,False,False,True,False,False,False,False,True,False,1,0.5453342157511581,62,False,False,False,True,False,False,False,3,0.3373493975903614,0,5,2,3,2,2,0,1.34,-0.09799999999999993,1
S004,V008,False,False,True,False,False,False,False,True,False,1,0.5453342157511581,62,False,False,False,False,False,False,True,3,0.07228915662650602,0,10,10,0,2,4,12,1.34,-0.09799999999999993,1
S004,V012,False,False,True,False,False,False,False,True,False,1,0.5453342157511581,62,False,False,False,False,True,False,False,3,0.03614457831325301,0,5,5,0,2,3,12,1.34,-0.09799999999999993,1
S004,V015,False,False,True,False,False,False,False,True,False,1,0.5453342157511581,62,True,False,False,False,False,False,False,2,0.0,0,5,0,5,1,3,-49,1.34,-0.09799999999999993,1
S004,V016,False,False,True,False,False,False,False,True,False,1,0.5453342157511581,62,False,True,False,False,False,False,False,2,0.1566265060240964,0,7,3,4,1,1,12,1.34,-0.09799999999999993,1
S004,V020,False,False,True,False,False,False,False,True,False,1,0.5453342157511581,62,False,False,False,False,False,True,False,2,0.12048192771084337,0,5,0,5,1,3,-40,1.34,-0.09799999999999993,1
S005,V003,False,True,False,False,False,False,False,False,True,0,0.10919920582395765,65,False,False,True,False,False,False,False,1,0.8795180722891566,0,2,0,2,1,0,-35,-0.3500000000000001,0.17399999999999993,1
S005,V005,False,True,False,False,False,False,False,False,True,0,0.10919920582395765,65,False,False,False,True,False,False,False,2,0.27710843373493976,0,5,3,2,0,0,-43,-0.3500000000000001,0.17399999999999993,1
S005,V009,False,True,False,False,False,False,False,False,True,0,0.10919920582395765,65,False,False,False,False,False,False,True,2,0.04819277108433735,0,8,8,0,2,0,12,-0.3500000000000001,0.17399999999999993,1
